;Id;DistrictId;Rooms;Square;LifeSquare;KitchenSquare;Floor;HouseFloor;HouseYear;Ecology_1;Ecology_2;Ecology_3;Social_1;Social_2;Social_3;Healthcare_1;Helthcare_2;Shops_1;Shops_2;Price
9288;16192;9;3,0;81,99039736329806;77,64979432671608;1,0;4;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;230361,72356714122
9264;5458;9;2,0;62,92067333721565;1,5914202843187928;1,0;7;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;180234,14200754766
425;4111;3;2,0;48,379943517636725;30,593074538395143;6,0;6;12,0;1972;0,050900058;B;B;43;10621;1;30,0;2;3;B;183744,9522402997
1644;12436;9;4,0;92,62251642115909;59,248531584317945;8,0;5;14,0;1994;0,161531741;B;B;25;5648;1;30,0;2;4;B;277786,01560958644
9385;13803;9;3,0;73,759089460445;45,4800025753525;10,0;6;17,0;1994;0,161531741;B;B;25;5648;1;30,0;2;4;B;246709,4288031471
2313;5718;9;2,0;60,23152949053684;2,7302965732408424;1,0;16;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;189988,8343799054
2303;8983;9;2,0;55,892716215451095;32,25876452243268;9,0;4;17,0;2011;0,161531741;B;B;25;5648;1;30,0;2;4;B;206198,281666216
2281;10753;3;2,0;45,669710522757576;30,75587871890919;6,0;6;12,0;1973;0,050900058;B;B;43;10621;1;30,0;2;3;B;88274,23201979902
3829;1178;9;3,0;82,24790858214094;80,04916269253158;1,0;9;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;236541,3555386779
8529;11647;9;1,0;44,13140914680462;30,928076795745028;1,0;14;18,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;138202,24082656793
4024;169;9;1,0;44,71601458383523;40,19894515260809;1,0;7;18,0;2017;0,161531741;B;B;25;5648;1;30,0;2;4;B;122496,9471607992
8942;5834;9;2,0;68,57810048923835;54,64574106551241;1,0;11;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;208836,50011582518
3943;8779;9;3,0;83,40274329376999;45,54990648591453;9,0;21;22,0;1996;0,161531741;B;B;25;5648;1;30,0;2;4;B;256504,24383595405
3707;1424;128;2,0;65,28383450071519;36,79692646183222;11,0;15;17,0;2005;0,0;B;B;27;4798;0;30,0;2;8;B;348336,3227895341
1898;14343;128;2,0;62,37714994763196;35,737959609436075;10,0;15;17,0;1991;0,0;B;B;27;4798;0;30,0;2;8;B;292148,2479993152
8630;6040;3;1,0;36,617619008616565;21,204734032511144;9,0;10;14,0;1975;0,050900058;B;B;43;10621;1;30,0;2;3;B;148546,739530371
8690;9063;9;1,0;43,05935252015657;24,98542875313439;8,0;11;14,0;1989;0,161531741;B;B;25;5648;1;30,0;2;4;B;151461,12251175437
3592;12155;128;2,0;62,535522711732256;36,287340207349246;10,0;15;17,0;1992;0,0;B;B;27;4798;0;30,0;2;8;B;236999,6274144132
1847;13774;9;2,0;54,8495052963731;31,033739655162506;9,0;7;15,0;2009;0,161531741;B;B;25;5648;1;30,0;2;4;B;210993,9670615708
3573;13259;9;3,0;82,75694460311884;48,484072383561184;8,0;14;14,0;1999;0,161531741;B;B;25;5648;1;30,0;2;4;B;272468,69882459746
3534;581;128;2,0;55,023396753591406;33,28456996536558;9,0;12;17,0;1990;0,0;B;B;27;4798;0;30,0;2;8;B;264144,7308436584
3962;9652;93;1,0;35,82672698498158;19,03520753607064;7,0;4;9,0;1978;0,050900058;B;B;43;10621;1;30,0;2;3;B;139765,04261841555
332;6437;93;1,0;41,465929871645216;24,119405647589346;8,0;2;12,0;1982;0,050900058;B;B;43;10621;1;30,0;2;3;B;139769,8887951982
405;649;3;1,0;41,27079389480479;21,271678734758492;9,0;1;14,0;1976;0,050900058;B;B;43;10621;1;30,0;2;3;B;133188,8183333017
8652;15159;128;1,0;37,51604619905678;18,880863055375688;10,0;10;12,0;2002;0,0;B;B;27;4798;0;30,0;2;8;B;193446,12945413726
3649;15639;9;2,0;62,45581187167286;54,64574106551241;1,0;10;18,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;185365,70918556195
8619;10554;128;1,0;43,40745371288029;20,024223620600928;8,0;5;9,0;1991;0,0;B;B;27;4798;0;30,0;2;8;B;186387,31956399235
3925;15763;9;2,0;55,11312272424382;31,560579550531894;11,0;11;14,0;2000;0,161531741;B;B;25;5648;1;30,0;2;4;B;227091,19077658988
3348;12012;9;1,0;43,09179112275217;22,253337244131856;8,0;7;14,0;1996;0,161531741;B;B;25;5648;1;30,0;2;4;B;136401,72564617128
1773;5330;9;1,0;40,9389304351695;20,94684105470238;8,0;9;14,0;1999;0,161531741;B;B;25;5648;1;30,0;2;4;B;149298,50460600833
3311;15022;3;2,0;52,89580432651238;34,97344063849119;8,0;4;12,0;1983;0,050900058;B;B;43;10621;1;30,0;2;3;B;213450,01764287992
363;15751;9;1,0;44,17179277100629;1,2518457683823592;1,0;11;18,0;2017;0,161531741;B;B;25;5648;1;30,0;2;4;B;134910,71558758087
3807;7593;9;3,0;71,43639432415387;45,0540364753687;9,0;9;14,0;1995;0,161531741;B;B;25;5648;1;30,0;2;4;B;252480,40009833747
3710;2713;9;1,0;42,04893661470891;20,700129037593324;8,0;3;17,0;2015;0,161531741;B;B;25;5648;1;30,0;2;4;B;137434,76842031974
8555;8115;9;2,0;57,08555021824956;28,421651870316058;9,0;14;15,0;2007;0,161531741;B;B;25;5648;1;30,0;2;4;B;202593,41393927735
3410;1873;93;2,0;54,93308755521453;33,76855524444556;8,0;12;17,0;1984;0,050900058;B;B;43;10621;1;30,0;2;3;B;193279,25950364745
8886;2056;9;1,0;47,30179049324757;5,1259082386898704;1,0;7;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;138880,25446483016
3301;1997;9;1,0;46,63467621935639;30,928076795745028;1,0;6;4,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;110158,20280535617
8530;11922;9;2,0;56,027639178975704;31,60037232983904;8,0;6;14,0;1989;0,161531741;B;B;25;5648;1;30,0;2;4;B;176248,38423428638
8901;14276;128;3,0;81,74094383674156;51,205032683998105;8,0;15;14,0;1993;0,0;B;B;27;4798;0;30,0;2;8;B;313758,0665927413
1761;2103;93;2,0;50,4795383623181;34,69395669508652;9,0;4;12,0;1976;0,050900058;B;B;43;10621;1;30,0;2;3;B;180932,45617834016
8735;3490;9;2,0;52,215316049615495;34,660533771042374;8,0;11;14,0;1992;0,161531741;B;B;25;5648;1;30,0;2;4;B;193535,13576444352
3393;8348;9;1,0;46,06244702990252;30,928076795745028;1,0;7;18,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;132634,9130654601
3997;1011;9;2,0;53,86826305602216;32,60691569471242;8,0;8;14,0;1998;0,161531741;B;B;25;5648;1;30,0;2;4;B;218660,4237995753
3319;2802;128;3,0;75,74838686404695;42,92516825783306;10,0;6;16,0;2003;0,0;B;B;27;4798;0;30,0;2;8;B;340197,3008199215
3414;13547;9;3,0;67,86098828109249;41,481205576467644;9,0;6;12,0;2010;0,161531741;B;B;25;5648;1;30,0;2;4;B;176317,04455362426
8681;11192;9;3,0;78,17075551978425;52,26192246645988;1,0;7;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;216834,03823088718
1712;1700;9;2,0;50,47630720816535;27,127443746985588;8,0;10;10,0;2011;0,161531741;B;B;25;5648;1;30,0;2;4;B;183433,6164935028
3396;14069;9;1,0;41,69284737099585;23,81359851507544;7,0;18;17,0;1997;0,161531741;B;B;25;5648;1;30,0;2;4;B;125313,44131129506
7352;2297;93;1,0;37,83158115280525;21,739724181449827;9,0;8;12,0;1977;0,050900058;B;B;43;10621;1;30,0;2;3;B;143018,0492862415
3446;15249;9;3,0;77,43716066600409;49,675464357857436;9,0;11;17,0;1989;0,161531741;B;B;25;5648;1;30,0;2;4;B;252808,384278877
8601;467;9;2,0;45,924840074034634;2,907492578376484;1,0;10;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;124016,66729397864
2562;8978;9;2,0;55,76006245233498;31,15167939802818;9,0;9;15,0;2010;0,161531741;B;B;25;5648;1;30,0;2;4;B;208690,31624196807
2604;4756;9;1,0;42,31639406570449;22,58776028766353;10,0;22;22,0;1995;0,161531741;B;B;25;5648;1;30,0;2;4;B;87752,10759829
274;6184;3;3,0;96,96659699367905;57,72208539788412;9,0;10;15,0;2015;0,050900058;B;B;43;10621;1;30,0;2;3;B;241747,94628388
2635;9964;9;3,0;78,1249914817882;43,95010061415335;9,0;10;11,0;2015;0,161531741;B;B;25;5648;1;30,0;2;4;B;220558,54709449306
2694;11084;9;1,0;40,44619086145345;22,69717099343807;9,0;6;16,0;1988;0,161531741;B;B;25;5648;1;30,0;2;4;B;150826,00382361055
9618;13222;93;1,0;40,13197210179686;19,251589693153655;8,0;8;17,0;1985;0,050900058;B;B;43;10621;1;30,0;2;3;B;147702,6463071086
2695;13994;9;2,0;66,96576910153361;54,64574106551241;1,0;3;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;185325,8653495347
2059;12101;93;2,0;64,73915833315522;33,81090110703202;11,0;14;22,0;2016;0,050900058;B;B;43;10621;1;30,0;2;3;B;170511,22057756878
9659;8933;9;1,0;50,56718196231266;45,60335330165459;1,0;1;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;144534,04603246535
9603;1422;3;1,0;40,62190495765531;21,715138826123585;8,0;7;17,0;1985;0,050900058;B;B;43;10621;1;30,0;2;3;B;138061,7587210648
2733;4219;9;2,0;53,508282300474704;31,6028897535498;8,0;6;14,0;1993;0,161531741;B;B;25;5648;1;30,0;2;4;B;192713,63347675427
2054;11123;3;3,0;59,991616558236245;46,86806627921651;5,0;8;12,0;1974;0,050900058;B;B;43;10621;1;30,0;2;3;B;214254,55414236692
89;11902;128;2,0;52,08218293973108;34,01705745296253;8,0;7;17,0;1994;0,0;B;B;27;4798;0;30,0;2;8;B;243824,7929712899
9747;8294;9;3,0;67,9245528109072;41,48108093336312;9,0;14;12,0;2008;0,161531741;B;B;25;5648;1;30,0;2;4;B;90971,10321780824
2482;465;3;1,0;29,72186611091766;18,39180385810284;5,0;6;12,0;1977;0,050900058;B;B;43;10621;1;30,0;2;3;B;143442,03363391658
2475;9585;128;3,0;78,38450259794537;48,670993945317925;10,0;17;17,0;1993;0,0;B;B;27;4798;0;30,0;2;8;B;312926,6900570367
2202;5449;9;3,0;76,88399160272425;49,27730404786369;10,0;16;17,0;1994;0,161531741;B;B;25;5648;1;30,0;2;4;B;275717,9809361376
2270;16451;128;3,0;74,53842950574679;45,79068154112514;10,0;13;17,0;1977;0,0;B;B;27;4798;0;30,0;2;8;B;215723,70837090164
2718;14311;128;1,0;40,949054779062855;23,668946845711172;8,0;8;14,0;1993;0,0;B;B;27;4798;0;30,0;2;8;B;165935,8102321358
1767;4571;128;3,0;72,40583519472581;45,348194589518755;10,0;14;17,0;1992;0,0;B;B;27;4798;0;30,0;2;8;B;338855,232637349
2550;16664;9;3,0;65,6887569262101;40,91489734323087;8,0;15;14,0;1997;0,161531741;B;B;25;5648;1;30,0;2;4;B;227554,01693050613
104;2930;9;2,0;62,34715418212179;54,64574106551241;1,0;6;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;184172,97563930124
1889;6475;3;2,0;56,85975425872582;34,81657162461565;9,0;13;12,0;1973;0,050900058;B;B;43;10621;1;30,0;2;3;B;185203,26749262545
3434;3887;128;1,0;45,75555194945782;21,783347511871362;8,0;13;14,0;1995;0,0;B;B;27;4798;0;30,0;2;8;B;172840,67528796685
3681;12237;9;2,0;61,15970135032901;38,45145526450537;8,0;8;14,0;1996;0,161531741;B;B;25;5648;1;30,0;2;4;B;204080,91533336308
8849;14865;9;10,0;60,87126567734032;38,42068102118979;10,0;3;2,0;1994;0,161531741;B;B;25;5648;1;30,0;2;4;B;172329,270863477
8583;4980;3;1,0;39,513971432782405;23,26408223357905;8,0;10;12,0;1985;0,050900058;B;B;43;10621;1;30,0;2;3;B;158638,92234413663
3682;13122;3;1,0;34,01522423558423;21,14091547170813;6,0;8;9,0;1974;0,050900058;B;B;43;10621;1;30,0;2;3;B;166193,39026655257
3891;3114;9;2,0;55,328164606856035;51,364581443021926;8,0;6;14,0;1992;0,161531741;B;B;25;5648;1;30,0;2;4;B;178602,15426657413
8855;4512;9;2,0;64,97791012043115;5,768457429952581;1,0;11;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;194036,36463431932
2545;1022;3;1,0;32,83539558034084;19,498795682352085;6,0;10;12,0;1972;0,050900058;B;B;43;10621;1;30,0;2;3;B;143913,84580076527
314;3039;9;3,0;73,83346311676652;44,05377330854044;9,0;7;15,0;2010;0,161531741;B;B;25;5648;1;30,0;2;4;B;268170,85082156444
3995;14970;9;2,0;62,622294950809746;54,64574106551241;1,0;11;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;186863,5463811971
6932;16539;9;3,0;73,63991801520156;5,565902848324001;1,0;5;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;220109,38742650495
3294;10219;93;1,0;40,422991819162974;18,755570519779006;8,0;7;16,0;2005;0,050900058;B;B;43;10621;1;30,0;2;3;B;141704,7967760466
2585;1122;128;1,0;39,43106604122975;22,99808046788442;8,0;6;17,0;1987;0,0;B;B;27;4798;0;30,0;2;8;B;174360,761778179
2518;9273;9;1,0;43,0630790018807;41,472957677533095;1,0;12;1,0;2017;0,161531741;B;B;25;5648;1;30,0;2;4;B;140371,21052947227
2105;3854;3;2,0;44,85978874432604;32,57201397789549;6,0;3;5,0;1965;0,050900058;B;B;43;10621;1;30,0;2;3;B;151353,30070655813
2520;5918;9;4,0;122,50024572674751;55,49993580738695;1,0;19;18,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;347736,96894256014
2528;9376;9;2,0;61,794365186980464;35,80444568534862;10,0;8;14,0;1995;0,161531741;B;B;25;5648;1;30,0;2;4;B;198615,0204305936
8663;6282;93;2,0;59,810669492684404;33,15294275047866;10,0;16;22,0;2012;0,050900058;B;B;43;10621;1;30,0;2;3;B;183403,5246927278
5727;7445;93;1,0;40,81826015974492;15,424144648202416;9,0;14;22,0;2014;0,050900058;B;B;43;10621;1;30,0;2;3;B;159229,8249559679
1714;12258;93;1,0;40,95444758995277;22,545441939503867;8,0;6;12,0;1977;0,050900058;B;B;43;10621;1;30,0;2;3;B;151234,54920074035
800;6755;3;2,0;46,565247263912326;29,631152011995713;5,0;11;6,0;1971;0,050900058;B;B;43;10621;1;30,0;2;3;B;167290,46926342224
1661;1401;9;3,0;74,24011276607195;53,61515196947807;9,0;8;12,0;1990;0,161531741;B;B;25;5648;1;30,0;2;4;B;231537,83117060558
4190;13696;3;1,0;29,25176900073683;15,750582994825239;6,0;9;12,0;1975;0,050900058;B;B;43;10621;1;30,0;2;3;B;144673,3130030265
8427;1047;9;1,0;46,59435073566298;41,3305153948704;8,0;15;14,0;1991;0,161531741;B;B;25;5648;1;30,0;2;4;B;143692,7827145179
4199;4321;9;2,0;55,92947553954557;31,05182510683179;8,0;5;14,0;1992;0,161531741;B;B;25;5648;1;30,0;2;4;B;186108,69576347747
8422;7328;9;2,0;55,55912307797156;32,45540201672913;8,0;10;14,0;1992;0,161531741;B;B;25;5648;1;30,0;2;4;B;195274,4340714704
8407;1728;9;1,0;40,61055814702311;21,21177910870846;9,0;13;17,0;2006;0,161531741;B;B;25;5648;1;30,0;2;4;B;153834,15870332022
