HouseYear;Rooms;Square;LifeSquare;KitchenSquare
1939;3;86,2803187;57,09234075;10
1939;4;89,84591311;64,87274636;7
1940;2;65,93875379;37,40349864;10
1940;4;98,11957533;72,35152391;9
1940;5;95,61753301;62,37705178;7
1940;5;111,0457987;81,94045928;9
1941;2;59,97575678;34,80550997;9
1941;3;68,44646285;43,3847388;10
1942;3;75,25598006;43,26397213;12
1942;4;99,03916146;71,57583871;11
1942;5;108,0573981;82,72382536;8
1947;3;72,99141665;42,47497323;9
1948;2;62,1983354;39,68072899;5
1948;2;73,14457748;42,87973605;12
1950;2;65,92518881;38,91483341;7
1950;2;66,26238547;43,31418479;9
1950;2;70,38261653;36,71141155;10
1950;3;67,25442863;47,39047222;6
1950;3;67,49141307;47,33010541;7
1950;3;68,17371181;48,99598209;8
1950;3;72,65170961;50,99366869;7
1951;1;36,09183387;20,06250456;8
1951;1;38,30448546;19,526021;6
1951;2;50,07234662;33,35716115;7
1951;4;67,69011955;42,93744829;8
1952;1;36,08101133;17,43863339;7
1952;2;49,89320511;28,56072392;7
1952;2;52,23200091;51,19613024;7
1952;2;61,8751218;37,48141192;9
1952;3;58,94269867;36,61820838;7
1952;3;67,67179349;45,41431832;7
1952;3;70,36385158;47,86182443;7
1952;3;76,4609929;46,85085103;10
1952;3;93,81590198;61,8166905;9
1952;3;100,9835766;57,76618064;10
1953;1;33,7157415;15,74463072;7
1953;2;47,95808566;31,99711909;7
1953;2;50,62447502;29,98727567;7
1953;2;52,44985831;27,14580779;7
1953;2;56,62246721;31,15271969;9
1953;3;54,30475357;33,36995936;8
1953;3;78,27522651;58,3308756;6
1953;3;82,95333604;51,42208593;8
1953;3;95,56443767;65,28324772;9
1953;4;94,38715045;67,58122227;8
1954;1;40,37200644;18,13144607;8
1954;2;53,12138279;33,93592247;7
1954;2;54,22782503;32,22035253;8
1954;2;54,37717132;30,34531009;7
1954;2;55,2205291;32,41251789;7
1954;2;56,0712507;34,0778374;6
1954;3;55,90468687;34,17977425;7
1954;3;60,45957664;32,25949467;7
1954;3;66,67421362;43,17475772;9
1954;3;75,31552532;48,96860095;7
1954;3;79,86673438;53,54941827;7
1954;3;82,02956196;56,86728705;8
1954;3;85,61613708;51,2643069;11
1955;1;34,9112691;18,43315528;6
1955;2;52,7839066;27,94732696;7
1955;2;53,05502607;26,92553389;7
1955;2;55,10127395;35,9140855;8
1955;2;57,08870239;37,91147724;7
1955;2;61,69336971;35,29782679;8
1955;2;63,29683766;40,67634566;8
1955;2;63,66706863;36,19690377;10
1955;2;66,09654676;39,96422242;8
1955;2;81,63481799;45,23632796;9
1955;3;57,61926911;40,28217806;6
1955;3;63,60034678;49,88318375;0
1955;3;70,22360431;44,54039068;13
1955;3;70,31956302;47,1443679;8
1955;3;76,25149204;47,22813752;8
1955;3;78,74785284;33,88575957;11
1955;3;86,3385419;53,27191288;7
1955;3;86,38512604;52,60746564;7
1955;3;88,06932656;59,75657554;8
1955;4;92,61497275;68,50345393;9
1956;1;32,08659276;16,17376815;7
1956;1;50,0617978;24,60006593;13
1956;1;60,01427928;36,6567297;10
1956;2;56,71277142;36,45406386;7
1956;2;59,56259396;37,63949546;8
1956;2;62,74750916;28,1968127;8
1956;2;64,8773192;38,68285605;8
1956;2;68,62939442;45,41184251;6
1956;3;70,51510519;39,66663632;5
1956;3;75,12838929;52,75424579;8
1956;3;81,98056015;55,63723318;8
1956;3;85,43897815;56,91634572;7
1956;3;87,01036786;52,04381637;7
1956;3;87,96224175;60,07456923;11
1956;3;92,18395215;54,84811551;10
1957;1;41,93703728;40,55186403;10
1957;1;57,35973996;31,33678349;10
1957;2;51,70720945;30,9691363;7
1957;2;54,60029478;32,85924575;8
1957;2;57,30925416;34,1053856;8
1957;2;57,45260733;33,25791464;7
1957;2;58,36451442;39,25540888;7
1957;2;59,49824046;34,61495169;8
1957;2;63,57773354;29,07374965;8
1957;2;63,61583741;36,31173891;8
1957;2;65,04393558;39,40991816;7
1957;2;65,39927234;36,60193079;6
1957;2;67,15735149;45,74802662;9
1957;2;67,86750577;37,40796897;8
1957;3;62,72124776;44,38318734;7
1957;3;65,43476827;41,23806643;7
1957;3;67,60312511;51,52074191;7
1957;3;72,22897568;50,42338755;7
1957;3;75,42735042;47,31427715;8
1957;3;75,63391151;51,53593643;8
1957;3;77,32384195;51,55232975;8
1957;3;77,46984778;48,7568544;9
1957;3;78,30042595;43,61818442;7
1957;3;78,47198681;52,70682355;8
1957;3;78,93106921;51,78149752;8
1957;3;78,95256102;51,38255079;8
1957;3;79,8208431;50,25031826;8
1957;3;80,0424767;46,23022239;8
1957;3;82,48013014;52,18723117;9
1957;3;83,53796985;54,50621623;8
1957;3;90,99279703;58,43692861;9
1957;4;75,27604564;54,95543841;6
1957;4;95,0874753;72,75896602;10
1957;4;99,46285351;71,17057872;9
1958;1;29,64805682;16,55536345;5
1958;1;30,12051055;20,93836277;5
1958;1;30,70492515;20,75523475;4
1958;1;36,43828352;18,40396358;7
1958;1;37,2606345;22,90437191;7
1958;1;40,67673764;21,97731008;6
1958;1;174,6495218;174,837082;15
1958;2;42,82269264;29,71127596;5
1958;2;53,86670276;34,44967366;7
1958;2;54,75193628;32,24820022;7
1958;2;54,82997308;37,8869012;7
1958;2;55,05519931;38,11975674;8
1958;2;55,37249516;34,99450607;6
1958;2;55,63775232;32,07720076;9
1958;2;56,58840121;33,14072025;7
1958;2;57,21532145;35,28388596;7
1958;2;57,5544428;38,91466859;8
1958;2;57,73046723;33,09255535;7
1958;2;58,2180532;35,72603204;8
1958;2;58,50534766;31,42849077;7
1958;2;58,61492518;37,59128214;7
1958;2;58,66630952;37,56892634;8
1958;2;60,52023711;37,57600838;8
1958;2;60,74938321;35,93189798;8
1958;2;60,80775301;34,45757297;7
1958;2;61,12088771;35,7041825;6
1958;2;62,2761293;39,27467396;10
1958;2;65,18544796;39,0469619;6
1958;2;65,30918998;35,84317887;10
1958;3;59,10125838;40,21958609;5
1958;3;69,15889687;45,43490851;6
1958;3;75,20508254;50,92253291;8
1958;3;75,40399918;52,76038636;7
1958;3;76,73466939;50,58922422;8
1958;3;78,79218932;53,20466891;9
1958;3;78,82403757;53,01632344;8
1958;3;79,08596125;45,23070656;8
1958;3;79,20641609;51,89166591;8
1958;3;80,12269103;57,48469356;7
1958;3;81,23214091;54,38458471;7
1958;3;82,71563041;54,39120153;8
1958;3;84,25654522;56,4002748;10
1958;3;84,44003219;58,90262526;8
1958;3;84,89575559;53,68019977;8
1958;3;87,83840931;56,2775076;8
1958;3;88,97832401;56,93904495;12
1958;3;90,12038363;60,10686008;9
1958;3;92,90665943;59,1708327;10
1958;4;78,11088691;51,85334862;8
1958;4;101,5542515;22,63037312;9
1958;4;102,2623026;73,67745855;9
1959;1;30,82606962;18,85483991;4
1959;1;31,57695484;17,8244053;6
1959;1;31,71671757;19,42318737;6
1959;1;32,10173347;30,52664477;4
1959;1;32,19835126;19,04384592;6
1959;1;33,32143854;20,90945959;5
1959;1;33,42716927;18,41349839;5
1959;1;34,38530157;20,08704508;6
1959;1;34,60601164;19,12789663;6
1959;1;35,58785666;21,30532438;6
1959;1;37,21046684;20,17814306;7
1959;1;37,46004187;18,85084174;6
1959;1;39,66267054;26,01406043;5
1959;2;42,46050316;31,76936203;5
1959;2;44,58172849;31,52538206;4
1959;2;45,05356773;31,50660639;5
1959;2;45,09067637;30,44150779;5
1959;2;45,662268;30,08690978;6
1959;2;45,91008596;28,62010512;8
1959;2;52,9660275;31,72565252;5
1959;2;54,05472213;33,62922045;8
1959;2;54,67801381;35,35003853;7
1959;2;55,67230114;37,72026347;8
1959;2;56,18210839;34,43735815;9
1959;2;56,7802143;34,62613523;7
1959;2;57,58601667;34,29442114;7
1959;2;58,34432997;37,88923819;8
1959;2;58,376876;36,14656416;8
1959;2;61,63647733;36,51580938;8
1959;2;63,57528703;39,49205331;9
1959;2;64,72091642;37,07716289;7
1959;2;65,07898898;27,62686148;7
1959;3;55,47688196;37,69807237;6
1959;3;60,42134649;41,26456224;6
1959;3;67,58746007;42,9524886;8
1959;3;68,8088591;45,73690564;7
1959;3;75,52109407;51,03265228;8
1959;3;75,54720427;51,23547743;8
1959;3;75,95975594;52,21062206;9
1959;3;77,14427343;50,965607;8
1959;3;79,56632935;50,45488711;8
1959;3;79,83309479;52,17691975;8
1959;3;80,29481265;52,5968133;8
1959;3;80,40399078;57,31294217;7
1959;3;81,6540258;56,9186529;9
1959;3;82,00237408;57,36124182;8
1959;3;87,49937721;52,93903485;12
1959;3;92,97058064;59,97325014;10
1959;3;96,04848256;58,18658272;17
1959;4;82,36822422;57,29085952;7
1959;4;96,27459601;71,37276346;8
1960;1;31,3593495;18,14632832;5
1960;1;32,35130396;19,0086294;5
1960;1;33,14424334;19,2277837;5
1960;1;33,17761765;19,8699755;7
1960;1;33,37796893;18,63825499;8
1960;1;33,71540071;20,47508063;6
1960;1;33,72029173;18,84095595;6
1960;1;34,12705858;19,43573771;6
1960;1;34,43233026;21,21477833;5
1960;1;34,46311355;20,56182303;5
1960;1;34,64762901;18,72696575;6
1960;1;34,70790839;21,6950103;5
1960;1;34,9086318;22,90874993;7
1960;1;35,09421162;16,95869923;5
1960;1;35,47291859;23,29667804;8
1960;1;35,85389857;20,27054585;7
1960;1;35,99243056;23,67764244;4
1960;1;36,9319711;20,7228613;8
1960;1;37,47505101;17,95227925;6
1960;1;39,20873321;22,48590715;8
1960;1;40,13769758;20,05433625;7
1960;1;40,44021187;16,23819185;10
1960;1;40,62363986;21,43922075;7
1960;1;41,13247486;22,6942962;8
1960;1;46,18553741;23,94634957;8
1960;1;50,02815235;23,88480481;8
1960;2;37,88357477;27,57067665;4
1960;2;40,52302196;30,66052579;5
1960;2;41,77317558;25,40611102;5
1960;2;42,04398819;29,99739934;5
1960;2;43,03314886;31,50211756;5
1960;2;44,20000668;30,48422634;5
1960;2;44,51140745;29,84746227;5
1960;2;45,05970166;31,39104819;5
1960;2;45,07650399;28,25810361;5
1960;2;45,66957115;31,71495595;5
1960;2;45,6828881;29,95916185;5
1960;2;45,85098287;31,36204756;5
1960;2;45,94804161;29,37455272;5
1960;2;46,18948213;34,08133293;5
1960;2;46,41027921;31,50674531;5
1960;2;46,43085243;31,67891182;5
1960;2;46,6062983;29,88250651;5
1960;2;46,62984561;33,22327911;5
1960;2;46,66189214;31,32656118;5
1960;2;47,02746575;30,90088666;6
1960;2;47,32385003;26,79271788;6
1960;2;47,67239345;34,83745359;5
1960;2;47,78159525;30,78001006;5
1960;2;47,94122655;34,46143605;5
1960;2;48,3008452;32,83244787;5
1960;2;48,47505621;31,14559731;6
1960;2;49,60034156;29,47641539;5
1960;2;49,83200516;32,72919632;5
1960;2;50,41329863;35,53396346;5
1960;2;51,74470381;32,22277712;8
1960;2;52,78810964;32,5099122;7
1960;2;53,28274803;37,08859758;7
1960;2;53,85789916;33,29770744;8
1960;2;55,00356972;34,74584742;8
1960;2;55,29303658;35,76189989;8
1960;2;55,52671357;32,16715536;8
1960;2;56,27402264;35,62098395;8
1960;2;56,82069969;38,37711196;7
1960;2;57,48546079;36,10504023;7
1960;2;57,88231791;37,57010436;9
1960;2;57,9377542;31,70456539;8
1960;2;58,10203738;56,26536756;8
1960;2;59,37484196;37,00519297;7
1960;2;59,51445915;33,86210694;7
1960;2;61,52598392;37,16111737;8
1960;2;62,17058515;36,27316985;8
1960;2;62,25411359;37,16037742;7
1960;2;66,23555392;38,07571943;8
1960;2;66,68296154;41,21660639;8
1960;2;68,49032828;39,27355818;6
1960;3;13,78486476;15,98888933;7
1960;3;50,91485791;39,39796353;4
1960;3;52,91503239;34,64569742;7
1960;3;55,16739773;35,43857634;5
1960;3;55,62932954;36,38712424;5
1960;3;55,87494859;41,48428396;5
1960;3;55,88505181;38,95991728;5
1960;3;56,072701;42,17202788;5
1960;3;64,05488748;46,27546551;7
1960;3;66,74479795;42,32574748;7
1960;3;69,8236364;48,75531917;8
1960;3;70,89173275;46,86483192;6
1960;3;71,04599151;52,8364326;7
1960;3;73,48268116;48,56041042;7
1960;3;74,1607301;50,49499395;8
1960;3;74,61642749;53,89175758;7
1960;3;76,46033152;49,97915384;8
1960;3;76,58503528;52,31086389;8
1960;3;76,66005727;56,42721884;8
1960;3;76,69868199;55,47752598;8
1960;3;77,10324368;55,35556751;7
1960;3;77,11936514;56,37567399;8
1960;3;78,09840689;41,40049942;8
1960;3;78,95003398;57,78398452;8
1960;3;79,07532338;54,50025646;8
1960;3;79,2164934;44,47629063;10
1960;3;80,05982633;54,14822078;8
1960;3;80,20276618;55,15973826;8
1960;3;80,21723656;51,13272065;8
1960;3;80,53328764;54,64209133;8
1960;3;80,91882794;51,98741639;7
1960;3;80,93212416;50,1310444;9
1960;3;81,10303895;49,31027781;8
1960;3;82,19041414;54,39116;9
1960;3;85,28038876;58,44796718;9
1960;3;85,84207481;58,90892551;9
1960;3;85,88740632;60,23013452;9
1960;3;93,44126601;52,05325202;14
1960;4;78,19530881;50,13888878;7
1960;4;82,62371655;60,54168158;7
1960;4;90,62047287;62,28324322;8
1960;4;98,69130309;72,82135243;8
1960;4;100,5105718;70,38940699;9
1960;4;104,7690216;79,31665045;8
1960;5;114,3137525;88,49265048;9
1961;1;17,49854229;13,44654376;0
1961;1;25,54328206;12,87599491;6
1961;1;30,66986364;18,04401798;5
1961;1;31,15377117;21,44633723;5
1961;1;31,18287054;19,39285206;5
1961;1;31,47115165;20,12122175;5
1961;1;31,75432317;21,10144131;5
1961;1;31,89566263;20,92954974;5
1961;1;32,04053012;17,38676561;5
1961;1;32,95585746;18,0469798;5
1961;1;32,96787152;20,8838398;5
1961;1;33,22250524;22,66145318;5
1961;1;33,2353536;22,46694928;5
1961;1;33,5073655;21,33341625;5
1961;1;33,72930963;17,89549071;7
1961;1;33,91776455;24,58779021;5
1961;1;34,24662271;21,69364276;5
1961;1;34,34944319;22,84474413;5
1961;1;34,48385765;19,90843355;5
1961;1;34,53903303;21,82234691;6
1961;1;34,68361999;21,41849191;5
1961;1;34,77615971;33,12445586;6
1961;1;34,83314476;18,12024359;9
1961;1;34,90787473;22,55063526;5
1961;1;34,94990255;19,69905625;5
1961;1;35,0421791;19,59077663;6
1961;1;35,09191658;19,15780816;8
1961;1;35,46175155;19,26211673;6
1961;1;35,77484298;19,2009378;7
1961;1;36,14149178;23,53514093;6
1961;1;36,33760825;22,06404284;5
1961;1;40,38910163;23,44183526;6
1961;1;40,48827276;23,38228273;7
1961;1;44,98603706;24,46755909;9
1961;2;37,60785252;28,43232251;5
1961;2;42,2181436;33,11419387;5
1961;2;43,02776812;29,0257658;5
1961;2;43,03282305;30,70978355;5
1961;2;43,41332533;28,97096542;5
1961;2;43,60256155;33,84014746;8
1961;2;43,70166179;26,35035825;5
1961;2;43,87231193;29,1187047;5
1961;2;43,95039123;26,63717005;6
1961;2;44,0365609;33,87973994;6
1961;2;44,30807907;30,31467219;5
1961;2;44,34631636;30,83360504;5
1961;2;44,34749739;28,66906392;5
1961;2;44,65547245;27,22350455;6
1961;2;44,8687366;32,68650908;5
1961;2;45,30156422;28,93843696;5
1961;2;45,42329301;29,35135237;5
1961;2;45,595236;29,98618761;5
1961;2;45,81622995;31,32818292;4
1961;2;45,85759295;29,68917518;5
1961;2;45,86486898;29,45988371;5
1961;2;45,92400867;27,06662615;6
1961;2;46,19596642;34,57762586;5
1961;2;46,26707194;28,81004515;6
1961;2;46,41638145;28,57170736;5
1961;2;46,70536378;29,27735659;4
1961;2;46,7916895;32,33379859;5
1961;2;46,93970845;27,45465456;6
1961;2;47,6304297;28,79576945;5
1961;2;47,6893758;30,7936662;5
1961;2;47,75117441;29,6127322;5
1961;2;47,9162292;47,89434945;5
1961;2;48,00371731;32,70067018;5
1961;2;48,05692492;30,6231614;5
1961;2;48,50026922;32,16350202;5
1961;2;48,57961683;28,62608756;5
1961;2;48,70795954;29,870437;6
1961;2;48,71761326;46,34538326;5
1961;2;49,67041311;32,77243106;5
1961;2;50,11105495;34,85860239;8
1961;2;50,42684147;31,81861887;5
1961;2;51,20368331;33,87432356;9
1961;2;55,82006918;36,35848183;9
1961;2;55,8233896;37,81567689;8
1961;2;55,86095236;34,46532652;8
1961;2;56,72706855;38,70854118;9
1961;2;57,06006521;34,61981662;8
1961;2;57,28460316;34,59976485;7
1961;2;57,62834751;36,01227988;8
1961;2;58,64498931;37,98633763;7
1961;2;59,69113788;35,75357654;7
1961;2;59,80639876;40,68901136;9
1961;2;61,10867123;35,62432993;9
1961;2;61,58495047;41,18239579;9
1961;2;61,72898916;37,08191624;9
1961;2;63,161892;33,28780763;6
1961;2;66,49686202;35,14541196;8
1961;2;67,98829863;40,29043077;8
1961;3;53,27379346;39,39631347;5
1961;3;54,2895234;39,04130745;5
1961;3;55,21395163;35,7327033;5
1961;3;56,24980014;45,0485719;5
1961;3;57,10389168;41,1722734;5
1961;3;57,28108813;39,00681002;5
1961;3;58,57037093;37,43412598;5
1961;3;60,76279392;44,24528328;6
1961;3;60,83357741;43,90689984;5
1961;3;72,27711536;50,33005696;7
1961;3;72,6855728;50,50144232;8
1961;3;74,16598319;48,35014181;8
1961;3;75,27595754;49,73859097;7
1961;3;76,76884576;55,27508027;7
1961;3;77,0265965;53,87606426;8
1961;3;80,91644471;52,86178493;8
1961;3;81,36600634;56,30459969;8
1961;3;82,58765937;52,00449043;7
1961;3;83,19717937;54,7673524;8
1961;4;76,41895635;56,2564012;7
1961;4;102,5222703;74,51346247;9
1962;1;19,92742262;15,54153626;0
1962;1;30,6709704;17,25521773;6
1962;1;31,17250356;21,84037181;5
1962;1;31,60726209;22,8123284;5
1962;1;31,87343112;22,36312718;6
1962;1;31,89103059;19,69174253;5
1962;1;32,50970691;21,43193811;5
1962;1;32,72017124;21,96981616;5
1962;1;32,73894535;23,12469828;5
1962;1;32,76936134;18,66822063;5
1962;1;33,10413033;21,6468467;5
1962;1;33,31578457;23,10619911;5
1962;1;33,60496333;21,09201412;5
1962;1;33,73003375;20,07670098;5
1962;1;33,80779053;20,7981331;5
1962;1;34,10573163;19,9487667;5
1962;1;34,14818672;24,11036682;5
1962;1;34,28163909;22,40613728;5
1962;1;34,34877733;23,68914004;5
1962;1;34,57845185;20,38044844;5
1962;1;34,81267645;23,75710644;5
1962;1;34,82626233;20,50738633;5
1962;1;34,8906723;18,78870436;6
1962;1;34,96238993;20,34513597;5
1962;1;35,23919244;20,32807482;8
1962;1;35,53433173;20,79325941;6
1962;1;35,55126478;15,41816644;9
1962;1;35,68470941;18,07132962;8
1962;1;35,78986003;25,04234427;5
1962;1;36,28802927;25,8918844;5
1962;1;36,61947827;20,91962279;5
1962;1;36,62625605;20,33234314;5
1962;1;36,84123222;18,08665028;6
1962;1;37,5728731;23,11121833;6
1962;1;37,57670717;20,42483535;6
1962;1;37,83733258;22,01114988;7
1962;1;39,63555639;26,63119739;4
1962;1;44,23035358;25,27973796;8
1962;1;51,53933121;29,1054657;8
1962;2;38,14473061;21,2694989;7
1962;2;38,29996148;26,03438555;7
1962;2;40,07593971;28,59053783;5
1962;2;40,82599903;27,64073336;5
1962;2;40,86422194;26,05739524;7
1962;2;42,02490402;40,13144032;7
1962;2;42,36611596;27,60302262;5
1962;2;42,37294971;29,21897253;4
1962;2;42,48970549;27,56454489;5
1962;2;43,12493776;29,55688596;5
1962;2;43,15841678;28,49570993;5
1962;2;43,18195669;30,89636268;6
1962;2;43,38071496;29,56540088;5
1962;2;43,8248423;29,33278485;5
1962;2;43,8437334;31,84302315;5
1962;2;43,86336103;30,43846655;5
1962;2;44,04362994;30,37962068;5
1962;2;44,05792104;33,24163895;5
1962;2;44,06985698;29,93783786;5
1962;2;44,24274143;30,60317077;5
1962;2;44,26516185;30,38386154;5
1962;2;44,56632106;32,62458542;5
1962;2;44,69226161;28,34016827;5
1962;2;44,7019865;31,91529158;5
1962;2;44,81511435;25,38526347;5
1962;2;44,9260442;32,52521302;5
1962;2;45,12321906;29,79792425;5
1962;2;45,1668315;32,38062554;5
1962;2;45,51930173;31,02817857;5
1962;2;45,57816073;28,47599688;5
1962;2;45,58698249;34,68238548;5
1962;2;45,59495013;32,09212195;6
1962;2;45,85116639;33,17540534;5
1962;2;45,8526276;27,6164672;5
1962;2;46,03539661;43,5369692;5
1962;2;46,09774689;41,48803198;5
1962;2;46,13999479;30,75239754;6
1962;2;46,2221658;31,49414538;5
1962;2;46,22400379;34,39937343;5
1962;2;46,24510631;30,90689453;5
1962;2;46,30749893;32,28194754;6
1962;2;46,41709185;26,43752388;5
1962;2;46,42115002;30,59530277;1
1962;2;46,54246561;29,3857565;5
1962;2;46,56943554;33,74612315;5
1962;2;46,70175336;30,36008398;5
1962;2;46,97442566;32,0355386;5
1962;2;47,11040424;33,0960937;5
1962;2;47,33697289;30,88445551;5
1962;2;47,35270046;30,86241482;5
1962;2;47,669568;30,39553917;8
1962;2;47,67061063;31,70730119;5
1962;2;47,69890152;32,68570015;5
1962;2;47,99445423;31,20536784;5
1962;2;48,24048875;30,71825739;5
1962;2;49,39599973;28,29960004;5
1962;2;49,52370236;33,27417102;5
1962;2;49,89135157;30,1583525;5
1962;2;51,69971861;29,20140074;8
1962;2;53,51440601;33,26448352;7
1962;2;56,48430529;34,24566195;8
1962;2;58,97918779;34,57684423;7
1962;2;59,16289047;34,38735091;11
1962;2;67,91201023;23,69624802;7
1962;3;16,54724199;16,69857065;8
1962;3;46,38820269;29,71600664;5
1962;3;54,76097072;36,92456672;5
1962;3;54,94966164;41,87010559;6
1962;3;55,69879103;42,00950771;5
1962;3;56,00808868;36,36459581;6
1962;3;56,49696674;37,62291824;5
1962;3;57,37388864;39,68844484;5
1962;3;57,81870644;39,99459763;5
1962;3;57,83408127;39,16694569;6
1962;3;58,74587916;40,86422647;6
1962;3;60,51800003;49,38824304;5
1962;3;69,14913882;49,87938845;6
1962;3;71,10920566;36,52748508;13
1962;3;73,89573747;53,78470751;7
1962;3;73,9505312;46,19240949;8
1962;3;76,9007559;52,97011214;8
1962;3;76,97129685;50,32456653;9
1962;3;76,98430768;51,66114859;7
1962;3;80,84372879;51,60082696;8
1962;3;81,38057186;53,10852909;7
1962;3;85,40298802;58,33437675;9
1963;1;22,07245724;16,54003571;2
1963;1;29,41287287;17,68501289;4
1963;1;30,09594759;16,33722419;5
1963;1;30,77666078;19,40998511;5
1963;1;31,16514682;18,38284433;7
1963;1;31,1963334;21,02513722;5
1963;1;31,64246811;20,563152;6
1963;1;31,64958147;21,48112969;5
1963;1;31,93883744;22,66736417;5
1963;1;31,96072168;19,48487207;5
1963;1;32,05860184;21,32743145;6
1963;1;32,10526954;21,23431379;5
1963;1;32,24640216;20,63609672;5
1963;1;32,41692451;19,25786916;6
1963;1;32,47144707;20,49988644;5
1963;1;32,71218848;17,72553523;5
1963;1;32,99499424;17,71702219;5
1963;1;33,26979572;18,85828497;6
1963;1;33,29952691;20,74243145;6
1963;1;33,4927142;20,05574329;5
1963;1;33,53391173;23,23324957;5
1963;1;33,53931692;21,42665019;5
1963;1;33,559979;22,14900151;5
1963;1;33,74868102;20,13256308;5
1963;1;33,90117257;19,14671042;6
1963;1;34,03057541;18,83677561;6
1963;1;34,25276451;22,22143493;6
1963;1;34,48781342;22,45869044;8
1963;1;34,51154804;19,66976517;5
1963;1;34,54454989;17,25555018;7
1963;1;34,54680326;20,88143243;6
1963;1;34,83195181;20,61534751;5
1963;1;34,83941353;20,19084996;5
1963;1;35,39023538;21,67558945;5
1963;1;35,57179109;17,08657625;7
1963;1;35,65606829;18,53394888;7
1963;1;35,68220258;23,18914639;5
1963;1;35,72195053;20,55591627;6
1963;1;35,88688461;20,01997686;5
1963;1;35,90518996;20,50039015;5
1963;1;35,93170697;18,20438251;5
1963;1;36,10191496;25,80481225;5
1963;1;36,15871692;24,28611696;5
1963;1;36,22046083;17,30193926;6
1963;1;36,29865214;20,95960464;6
1963;1;36,6533308;19,83005202;8
1963;1;36,74672849;25,13974017;5
1963;1;36,81956061;19,62209762;8
1963;1;37,61130061;21,86629714;8
1963;1;38,04924788;19,54410079;7
1963;1;38,72314214;21,50570769;9
1963;1;38,88296812;19,44234217;6
1963;1;47,1535354;20,85182317;14
1963;2;35,5368821;24,19883096;7
1963;2;36,47718297;22,62341625;7
1963;2;37,25310757;21,55040667;7
1963;2;38,25615468;22,20805986;7
1963;2;39,90231693;23,67597834;7
1963;2;40,67294136;29,93101693;5
1963;2;40,92858061;26,73140013;7
1963;2;41,88872927;30,09911163;5
1963;2;42,12392768;29,93506845;5
1963;2;42,13505932;29,89937195;5
1963;2;42,2931016;30,00837963;5
1963;2;42,36272726;32,04769691;5
1963;2;42,38956742;33,06483544;5
1963;2;42,55929428;28,62067086;6
1963;2;42,82779277;31,81548022;5
1963;2;42,90781127;26,39024838;6
1963;2;42,96657524;27,34929597;5
1963;2;43,32422815;27,93247964;5
1963;2;43,43335448;32,89287924;5
1963;2;43,44267413;31,87596822;5
1963;2;43,59915912;33,84111314;4
1963;2;43,71254916;29,74854744;5
1963;2;43,75266583;30,93007155;5
1963;2;43,80016813;28,55214204;6
1963;2;43,92273522;28,33852706;5
1963;2;43,92998333;27,55052757;5
1963;2;44,12766294;34,85679696;5
1963;2;44,14473562;33,67802049;6
1963;2;44,3163465;28,16262654;6
1963;2;44,47572188;31,38871817;5
